AÑO,PERIODO,ESTADO,ESTACIÓN,DISTINTIVO,FRECUENCIA FM,POBLACION CUBIERTA (2020),PORCENTAJE DE POBLACION NACIONAL CUBIERTA
2022,Julio-Septiembre,Sinaloa,Mazatlan,XHSPRM-FM,103.5,"500,348",0.45%
2022,Julio-Septiembre,Chiapas,Tapachula,XHSPRT-FM,101.1,"650,673",0.58%
2022,Julio-Septiembre,Veracruz,Coatzacoalcos,XHTZA-FM,104.3,"886,843",0.79%
2022,Julio-Septiembre,Colima,Colima,XHSPRC-FM,102.9,"397,869",0.35%
2022,Octubre-Diciembre,Sinaloa,Mazatlan,XHSPRM-FM,103.5,"500,348",0.45%
2022,Octubre-Diciembre,Chiapas,Tapachula,XHSPRT-FM,101.1,"650,673",0.58%
2022,Octubre-Diciembre,Veracruz,Coatzacoalcos,XHTZA-FM,104.3,"886,843",0.79%
2022,Octubre-Diciembre,Colima,Colima,XHSPRC-FM,102.9,"397,869",0.35%
